point,date,intercept,cos,sin,estimate,amplitude
0,1654560000000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.0831745339802265,0.024260348385522986
0,1655251200000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.08374820028773908,0.024260348385522986
0,1655596800000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.08386428640078475,0.024260348385522986
0,1655942400000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.08386562848340413,0.024260348385522986
0,1656288000000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.08375222018402047,0.024260348385522986
0,1656633600000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.08352459822184054,0.024260348385522986
0,1656979200000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.08318383984676284,0.024260348385522986
0,1657324800000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.08273155774115513,0.024260348385522986
0,1657670400000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.08216989238763041,0.024260348385522986
0,1658016000000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.08150150193893989,0.024260348385522986
0,1658361600000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.08072954963792756,0.024260348385522986
0,1658707200000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.07985768884708057,0.024260348385522986
0,1659052800000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.07889004575852637,0.024260348385522986
0,1659398400000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.07783119986630371,0.024260348385522986
0,1659744000000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.07668616229332421,0.024260348385522986
0,1660089600000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.07546035207559584,0.024260348385522986
0,1660435200000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.0741595705159448,0.024260348385522986
0,1660780800000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.07278997372861268,0.024260348385522986
0,1661126400000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.07135804350466206,0.024260348385522986
0,1661472000000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.06987055663607514,0.024260348385522986
0,1661817600000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.06833455284372429,0.024260348385522986
0,1662163200000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.06675730146099668,0.024260348385522986
0,1662508800000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.06514626703074927,0.024260348385522986
0,1662854400000,0.05961897304162915,-0.0238156100280952,0.004623983431700307,0.06350907397841009,0.024260348385522986
0,1685750400000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.06732426223016029,0.028507515125973455
0,1686096000000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.06842317689299605,0.028507515125973455
0,1686441600000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.06940781209268934,0.028507515125973455
0,1686787200000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.07027350791787337,0.028507515125973455
0,1687132800000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.07101616735290525,0.028507515125973455
0,1687478400000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.07163227566751297,0.028507515125973455
0,1687824000000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.07211891705070478,0.028507515125973455
0,1688169600000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.07247378841021475,0.028507515125973455
0,1688515200000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.07269521027218052,0.028507515125973455
0,1688860800000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.07278213472946676,0.028507515125973455
0,1689206400000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.07273415040101917,0.028507515125973455
0,1689552000000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.0725514843787776,0.028507515125973455
0,1689897600000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.07223500115293466,0.028507515125973455
0,1690243200000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.07178619852062562,0.028507515125973455
0,1690588800000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.07120720049741326,0.028507515125973455
0,1690934400000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.07050074726511359,0.028507515125973455
0,1691280000000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.06967018220353702,0.028507515125973455
0,1691625600000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.06871943606751792,0.028507515125973455
0,1691971200000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.06765300838411713,0.028507515125973455
0,1692316800000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.06647594615803791,0.028507515125973455
0,1692662400000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.06519381998603338,0.028507515125973455
0,1693008000000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.0638126976933495,0.028507515125973455
0,1693353600000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.062339115616969,0.028507515125973455
0,1693699200000,0.044276026194951884,-0.028293863255978127,-0.003483636133354953,0.06078004767156589,0.028507515125973455
