point,longitude,latitude,intercept_2022,cos_2022,sin_2022,intercept_2023,cos_2023,sin_2023
0,-122.0687481,44.72792893,0.08328512141223078,0.004425326626098816,0.010025834855714373,0.09285786886981323,0.015807361266766923,0.017702205093882404
1,-122.31635,47.13156,0.12059650279833643,-0.023879269993110675,0.0026450335575912806,0.10255642201955924,-0.04701850454324155,-0.009933528182212993
2,-124.23654,47.94122,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154,0.07361949199533516,0.008699415576507833,0.02977874088325035
3,-121.00774,48.77641,0.09858727336761434,-0.009683018690818876,0.01207872043972477,0.09631716656308842,-0.016694537807318218,0.014832911543928753
4,-120.97714,48.72036,0.058104531911642276,-0.018573198919028193,8.049099638454415e-05,0.07778437107250359,-0.00020305523176373532,0.016837940480050016
5,-123.880661,49.499119,0.04322851639967138,-0.03812338413444807,-0.006041667466462303,0.08831383499158908,-0.004384364934688644,0.02383188650237941
6,-125.96529,49.55186,0.0701864262768135,-0.013029585159991783,0.011352601874734133,0.028568964855635984,-0.046650026007753566,-0.006197613407465096
7,-123.290937,49.58387,0.21179934264290523,0.014559909865479854,0.004587733434866818,0.18312453745443763,-0.012818452470126954,-0.0022787899431393924
8,-122.449581,44.67748608,0.06897549078971583,-0.009768185961210792,0.006656001800159501,0.25568336269771313,-0.024759676569824543,0.013455402474503997
9,-122.5100322,44.67070005,0.18258831619773058,0.0810015999332878,0.012150676208653736,0.33176276751578976,-0.027373142980260286,0.02163655833877843
10,-122.7064143,44.65270142,0.06441266117203147,-0.013153591764491771,0.006623853424214902,0.23490410372433423,-0.05423305160869948,0.004048955221538934
11,-122.075537,44.69963,0.20461282514706244,-0.01550431510366915,-0.013204776731030604,0.16590311923570497,-0.04102251280002372,-0.008202050391307777
12,-122.312301,44.743588,0.19247578749115846,-0.04781441286724587,0.004175450287733794,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
13,-123.656005,45.45599,0.1708628425388603,0.01718882606671227,0.007595654394616263,0.1623772542171272,0.017922205263512365,0.005466587737892335
14,-122.090297,41.768535,0.17987313596462007,-0.11041532501115688,-0.12386815005622719,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
