point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
total,0.07638683690541415,0.10188728824625451,0.04706763671703401,0.22534176186870267
7,0.1624284498298161,0.1898021525011821,0.07205548378257455,0.42428608611357277
10,0.13463816440871296,0.1475398222909854,0.05109693595738489,0.33327492265708325
8,0.12294201972474327,0.14715724146074194,0.05334681283627677,0.323446074021762
19,0.11685157616651443,0.1911141813017379,0.12542009814168603,0.43338585560993836
9,0.10757247253698704,0.16670581908739762,0.05543735815141235,0.32971564977579704
18,0.10465910075791066,0.12546052313510642,0.04090183118473148,0.27102145507774855
11,0.09911783636719863,0.14161266162209155,0.04110415057337834,0.28183464856266854
5,0.08218978268971709,0.1480163287699999,0.08401928182653977,0.31422539328625676
2,0.03439540205487639,0.03678315471152905,0.020544251774139224,0.09172280854054467
1,0.0342713938835645,0.02986014704825626,0.013191516170589175,0.07732305710240994
14,0.02791384162678544,0.02576609111254847,0.011588396599392254,0.06526832933872617
6,0.020677410221543145,0.019937067626300608,0.00908817972799498,0.04970265757583873
17,0.014190450638768502,0.014871177840150929,0.011326628952771915,0.040388257431691346
12,0.01300914903568096,0.015885539318589305,0.00895354105522229,0.037848229409492555
3,0.012333826856250245,0.01175810672777215,0.006041203931701739,0.030133137515724134
0,0.011062980342264848,0.010290562746774977,0.009012397343008741,0.030365940432048568
15,0.006904796928830456,0.00992510911733959,0.008846895165352623,0.025676801211522667
4,0.006118992049121683,0.0065321943636691875,0.0044501087743277455,0.017101295187118615
13,0.004172779020529428,0.044353045276646776,0.0563410231562941,0.1048668474534703
16,0.0016368455211064714,0.004633504917647915,0.004657892326873234,0.01092824276562762
