point,INTP,COS0,SIN0,estimate,z,date
0,0.0694202,-0.00617829,0.006266787,0.0776564966904861,0.0,1654560000000.0
0,0.0694202,-0.00617829,0.006266787,0.077153415793386,0.0,1655251200000.0
0,0.0694202,-0.00617829,0.006266787,0.0768463353816445,0.0,1655596800000.0
0,0.0694202,-0.00617829,0.006266787,0.0765041083965071,0.0,1655942400000.0
0,0.0690267699440046,-0.0150629042270798,0.0062747057987443,0.0845854466554083,0.0896024999999999,1656288000000.0
0,0.0690267699440046,-0.0150629042270798,0.0062747057987443,0.0842104652991304,0.0,1656633600000.0
0,0.0690267699440046,-0.0150629042270798,0.0062747057987443,0.0837636222226179,0.0,1656979200000.0
0,0.0690267699440046,-0.0150629042270798,0.0062747057987443,0.0832470322544026,0.0,1657324800000.0
0,0.069058547403338,-0.0146489932993756,0.0062687876241371,0.0822892989905209,0.0820949999999999,1657670400000.0
0,0.069058547403338,-0.0146489932993756,0.0062687876241371,0.0816475108520579,0.0,1658016000000.0
0,0.068755783279049,-0.0179775102284127,0.0064120351921495,0.0837527145403952,0.0852025,1658361600000.0
0,0.068755783279049,-0.0179775102284127,0.0064120351921495,0.0829054614570124,0.0,1658707200000.0
0,0.0684417946312696,-0.0209797942788633,0.0066466573490201,0.084260289505219,0.0855874999999999,1659052800000.0
0,0.0684417946312696,-0.0209797942788633,0.0066466573490201,0.0831708743116309,0.0,1659398400000.0
0,0.068492182926571,-0.0205710617277773,0.0065977961162285,0.0817522665297189,0.0815449999999999,1659744000000.0
0,0.068492182926571,-0.0205710617277773,0.0065977961162285,0.0805482814707277,0.0,1660089600000.0
0,0.068492182926571,-0.0205710617277773,0.0065977961162285,0.0792872370490164,0.0,1660435200000.0
0,0.068492182926571,-0.0205710617277773,0.0065977961162285,0.0779751015627704,0.0,1660780800000.0
0,0.0678047355248338,-0.0240647170655672,0.0074560883456777,0.0775119308290477,0.0791525,1661126400000.0
0,0.0678047355248338,-0.0240647170655672,0.0074560883456777,0.0758905412047541,0.0,1661472000000.0
0,0.0677042266019374,-0.0244965101707576,0.0075830163447292,0.0742514934670922,0.0743949999999999,1661817600000.0
0,0.0677042266019374,-0.0244965101707576,0.0075830163447292,0.0725313324065701,0.0,1662163200000.0
0,0.0707968231623756,-0.0132101757001281,0.0036501254419229,0.0728608247187361,0.0698024999999999,1662508800000.0
0,0.0707968231623756,-0.0132101757001281,0.0036501254419229,0.0719243902351755,0.0,1662854400000.0
0,0.0707968231623756,-0.0132101757001281,0.0036501254419229,0.0841216240789307,0.0,1685750400000.0
0,0.0704711629264125,-0.0143052587394348,0.0041200928207846,0.0851759730815423,0.0851474999999999,1686096000000.0
0,0.0704711629264125,-0.0143052587394348,0.0041200928207846,0.0853007125217128,0.0,1686441600000.0
0,0.0704711629264125,-0.0143052587394348,0.0041200928207846,0.0853552663503246,0.0,1686787200000.0
0,0.0704711629264125,-0.0143052587394348,0.0041200928207846,0.0853393763738432,0.0,1687132800000.0
0,0.0704488627861702,-0.0146376743809778,0.0041775222393855,0.0855681428422859,0.0856974999999999,1687478400000.0
0,0.0704488627861702,-0.0146376743809778,0.0041775222393855,0.0854109080668323,0.0,1687824000000.0
0,0.0705211566588673,-0.0103967299373821,0.0040575295976486,0.081012550459653,0.0790974999999999,1688169600000.0
0,0.0705211566588673,-0.0103967299373821,0.0040575295976486,0.0807260377108433,0.0,1688515200000.0
0,0.0705211566588673,-0.0103967299373821,0.0040575295976486,0.0803912270813115,0.0,1688860800000.0
0,0.0705211566588673,-0.0103967299373821,0.0040575295976486,0.0800097031700123,0.0,1689206400000.0
0,0.0704021883496238,-0.0074431243664397,0.0041434497333816,0.0765820149286148,0.07511,1689552000000.0
0,0.0704021883496238,-0.0074431243664397,0.0041434497333816,0.0761642625077108,0.0,1689897600000.0
0,0.0703761476850232,-0.0088444963976642,0.0041359946724194,0.0769928156202919,0.0776675,1690243200000.0
0,0.0703761476850232,-0.0088444963976642,0.0041359946724194,0.0764835038406188,0.0,1690588800000.0
0,0.070245356393532,-0.0112566305485525,0.0041778913655479,0.0778790319633462,0.0790699999999999,1690934400000.0
0,0.070245356393532,-0.0112566305485525,0.0041778913655479,0.0772237567276369,0.0,1691280000000.0
0,0.0703978010127479,-0.0095580270511252,0.0041072406581542,0.0753937486394564,0.0745049999999999,1691625600000.0
0,0.0703978010127479,-0.0095580270511252,0.0041072406581542,0.0747545379717203,0.0,1691971200000.0
0,0.0711200561843892,-0.0042060767794918,0.0037362741004402,0.0713610371133877,0.06851,1692316800000.0
0,0.0711200561843892,-0.0042060767794918,0.0037362741004402,0.07097401381497,0.0,1692662400000.0
0,0.0707944530891056,-0.0058598717961467,0.0039056719315091,0.0711017422735747,0.071975,1693008000000.0
0,0.0707944530891056,-0.0058598717961467,0.0039056719315091,0.0706172922965756,0.0,1693353600000.0
0,0.0707944530891056,-0.0058598717961467,0.0039056719315091,0.0701336807899892,0.0,1693699200000.0
0,0.0707944530891056,-0.0058598717961467,0.0039056719315091,0.0696531966007644,0.0,1694044800000.0
0,0.0735947969029736,0.000850395138184,0.0029544070491192,0.0705293212760516,0.0669425,1694390400000.0
