point,intercept,cos,sin
1,-0.12750267122243494,-0.38803089891752723,-0.02978657822270144
1,-0.12750267122243494,-0.38803089891752723,-0.02978657822270144
1,-0.12750267122243494,-0.38803089891752723,-0.02978657822270144
1,-0.12750267122243494,-0.38803089891752723,-0.02978657822270144
1,-0.12750267122243494,-0.38803089891752723,-0.02978657822270144
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
1,0.21246786484950603,-0.012227508379019968,0.033069325523670534
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.5709729344932349,0.4797024436357378,0.12309741980787803
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
2,0.35006901258816303,0.06417244795271888,0.002660965292436882
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.320790643706042,-0.002068332644363828,0.0416319701060894
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
3,0.38081012662913105,0.393962656970814,0.05561378720793929
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.06897549078971583,-0.009768185961210792,0.006656001800159501
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
4,0.25568336269771313,-0.024759676569824543,0.013455402474503997
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.06441266117203147,-0.013153591764491771,0.006623853424214902
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
5,0.23490410372433423,-0.05423305160869948,0.004048955221538934
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.19247578749115846,-0.04781441286724587,0.004175450287733794
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
6,0.09722860805684413,-0.11488166193605001,-0.004261499441820044
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.32081587554010166,0.03957064478057692,0.0005502560514350359
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
7,0.2791761650403881,0.019670360557801525,0.0731880194701871
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.17987313596462007,-0.11041532501115688,-0.12386815005622719
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
8,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
9,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154
